cluster_key,cluster_label,cluster_install_rank,is_next_for_cluster,rollout_status,installed,tower_id,label,display_name,display_type,source,impact_score,impact_people_est,impact_tower_count,next_unlock_count,backlink_count,primary_previous_tower_id,inter_cluster_neighbor_ids,inter_cluster_connections,blocked_reason,previous_connections,next_connections,lon,lat,location_status,location_en,location_ru,google_maps_url,osm_url
seed:12+13+20+27,"Feria 2, Jvari, Poti, SoNick",0,false,installed,true,12,Feria 2,Feria 2,Installed Seed,seed,0,0,0,0,0,,,,,,,41.651175,41.626359,ok,"Batumi, near Kakhi Kavsadze 2nd Lane, Кахабери, Батуми, Аджарская Автономная Республика, Грузия","Батуми, рядом с 2-й переулок Кахи Кавсадзе, Кахабери, Аджарская Автономная Республика, Грузия","https://maps.google.com/?q=41.626359,41.651175",https://www.openstreetmap.org/?mlat=41.626359&mlon=41.651175#map=14/41.626359/41.651175
seed:12+13+20+27,"Feria 2, Jvari, Poti, SoNick",0,false,installed,true,13,Poti,Poti,Installed Seed,seed,0,0,0,0,0,,,,,,,41.664017,42.138773,ok,"Kundzuli, near Nodar Dumbadze Street, Поти, Самегрело и Верхняя Сванетия, Грузия","Кундзули, рядом с улица Нодара Думбадзе, Поти, Самегрело и Верхняя Сванетия, Грузия","https://maps.google.com/?q=42.138773,41.664017",https://www.openstreetmap.org/?mlat=42.138773&mlon=41.664017#map=14/42.138773/41.664017
seed:12+13+20+27,"Feria 2, Jvari, Poti, SoNick",0,false,installed,true,20,SoNick,SoNick,Installed Seed,seed,0,0,0,0,0,,,,,,,41.565121,41.542794,ok,"Gonio-Kvariati, near Ioane Lazi Street, Гонио-Квариати, Батуми, Аджарская Автономная Республика, Грузия","Гонио-Квариати, рядом с улица Иоане Лази, Батуми, Аджарская Автономная Республика, Грузия","https://maps.google.com/?q=41.542794,41.565121",https://www.openstreetmap.org/?mlat=41.542794&mlon=41.565121#map=14/41.542794/41.565121
seed:12+13+20+27,"Feria 2, Jvari, Poti, SoNick",0,false,installed,true,27,Jvari,Jvari,Installed Seed,seed,0,0,0,0,0,,,,,,,41.584266,41.566954,ok,"Gonio-Kvariati, near Avgia Street, Гонио-Квариати, Батуми, Аджарская Автономная Республика, Грузия","Гонио-Квариати, рядом с улица Авгиа, Батуми, Аджарская Автономная Республика, Грузия","https://maps.google.com/?q=41.566954,41.584266",https://www.openstreetmap.org/?mlat=41.566954&mlon=41.584266#map=14/41.566954/41.584266
seed:12+13+20+27,"Feria 2, Jvari, Poti, SoNick",1,true,next,false,36,mqtt #36,Airport / Adlia Street,Mqtt 36,mqtt,2241,2241,1,0,2,12,,,,"Feria 2 (Installed Seed), Jvari (Installed Seed)",,41.594078,41.620829,ok,"Airport, near Adlia Street, Аэропорт, Батуми, Аджарская Автономная Республика, Грузия","Аэропорт, рядом с улица Адлиа, Батуми, Аджарская Автономная Республика, Грузия","https://maps.google.com/?q=41.620829,41.594078",https://www.openstreetmap.org/?mlat=41.620829&mlon=41.594078#map=14/41.620829/41.594078
seed:12+13+20+27,"Feria 2, Jvari, Poti, SoNick",,false,blocked,false,2,mqtt #2,Министерские озёра,Mqtt 2,mqtt,0,0,0,0,0,,,,No visible path from an installed seed yet.,,,39.732468,43.595188,osm_only,Министерские озёра,Министерские озёра,"https://maps.google.com/?q=43.595188,39.732468",https://www.openstreetmap.org/?mlat=43.595188&mlon=39.732468#map=14/43.595188/39.732468
seed:12+13+20+27,"Feria 2, Jvari, Poti, SoNick",,false,blocked,false,3,mqtt #3,Министерские озёра,Mqtt 3,mqtt,0,0,0,0,0,,,,No visible path from an installed seed yet.,,,39.762989,43.540225,osm_only,Министерские озёра,Министерские озёра,"https://maps.google.com/?q=43.540225,39.762989",https://www.openstreetmap.org/?mlat=43.540225&mlon=39.762989#map=14/43.540225/39.762989
seed:12+13+20+27,"Feria 2, Jvari, Poti, SoNick",,false,blocked,false,11,mqtt #11,Giachrypsh,Mqtt 11,mqtt,0,0,0,0,0,,,,No visible path from an installed seed yet.,,,39.922265,43.434667,osm_only,Giachrypsh,Гячрыпш,"https://maps.google.com/?q=43.434667,39.922265",https://www.openstreetmap.org/?mlat=43.434667&mlon=39.922265#map=14/43.434667/39.922265
seed:12+13+20+27,"Feria 2, Jvari, Poti, SoNick",,false,blocked,false,14,mqtt #14,Министерские озёра,Mqtt 14,mqtt,0,0,0,0,0,,,,No visible path from an installed seed yet.,,,39.772521,43.560550,osm_only,Министерские озёра,Министерские озёра,"https://maps.google.com/?q=43.560550,39.772521",https://www.openstreetmap.org/?mlat=43.560550&mlon=39.772521#map=14/43.560550/39.772521
seed:12+13+20+27,"Feria 2, Jvari, Poti, SoNick",,false,blocked,false,17,mqtt #17,Министерские озёра,Mqtt 17,mqtt,0,0,0,0,0,,,,No visible path from an installed seed yet.,,,39.770221,43.701241,osm_only,Министерские озёра,Министерские озёра,"https://maps.google.com/?q=43.701241,39.770221",https://www.openstreetmap.org/?mlat=43.701241&mlon=39.770221#map=14/43.701241/39.770221
